"Step","jwb0406.juwels-0 - train/lm_loss","jwb0406.juwels-0 - train/lm_loss__MIN","jwb0406.juwels-0 - train/lm_loss__MAX","jwb0417.juwels-0 - train/lm_loss","jwb0417.juwels-0 - train/lm_loss__MIN","jwb0417.juwels-0 - train/lm_loss__MAX"
"1","","","","10.973403930664062","10.973403930664062","10.973403930664062"
"2","","","","10.973855972290039","10.973855972290039","10.973855972290039"
"3","","","","10.95319938659668","10.95319938659668","10.95319938659668"
"4","","","","10.879568099975586","10.879568099975586","10.879568099975586"
"5","","","","10.635854721069336","10.635854721069336","10.635854721069336"
"6","","","","10.170783042907715","10.170783042907715","10.170783042907715"
"7","","","","9.755960464477539","9.755960464477539","9.755960464477539"
"8","","","","9.574954986572266","9.574954986572266","9.574954986572266"
"9","","","","9.422279357910156","9.422279357910156","9.422279357910156"
"10","","","","9.228554725646973","9.228554725646973","9.228554725646973"
"11","","","","8.977397918701172","8.977397918701172","8.977397918701172"
"12","","","","8.843185424804688","8.843185424804688","8.843185424804688"
"13","","","","8.712850570678711","8.712850570678711","8.712850570678711"
"14","","","","8.631523132324219","8.631523132324219","8.631523132324219"
"15","","","","8.63949203491211","8.63949203491211","8.63949203491211"
"16","","","","8.55197525024414","8.55197525024414","8.55197525024414"
"17","","","","8.516724586486816","8.516724586486816","8.516724586486816"
"18","","","","8.344240188598633","8.344240188598633","8.344240188598633"
"19","","","","8.409464836120605","8.409464836120605","8.409464836120605"
"20","","","","8.377331733703613","8.377331733703613","8.377331733703613"
"21","","","","8.412160873413086","8.412160873413086","8.412160873413086"
"22","","","","8.298030853271484","8.298030853271484","8.298030853271484"
"23","","","","8.252256393432617","8.252256393432617","8.252256393432617"
"24","","","","8.204855918884277","8.204855918884277","8.204855918884277"
"25","","","","8.399724006652832","8.399724006652832","8.399724006652832"
"26","","","","8.101865768432617","8.101865768432617","8.101865768432617"
"27","","","","8.201766967773438","8.201766967773438","8.201766967773438"
"28","","","","7.9824748039245605","7.9824748039245605","7.9824748039245605"
"29","","","","8.106860160827637","8.106860160827637","8.106860160827637"
"30","","","","8.061352729797363","8.061352729797363","8.061352729797363"
"31","","","","8.103059768676758","8.103059768676758","8.103059768676758"
"32","","","","7.9892683029174805","7.9892683029174805","7.9892683029174805"
"33","","","","8.040716171264648","8.040716171264648","8.040716171264648"
"34","","","","7.9105963706970215","7.9105963706970215","7.9105963706970215"
"35","","","","8.015743255615234","8.015743255615234","8.015743255615234"
"36","","","","7.971368789672852","7.971368789672852","7.971368789672852"
"37","","","","7.873719215393066","7.873719215393066","7.873719215393066"
"38","","","","8.02215576171875","8.02215576171875","8.02215576171875"
"39","","","","7.884790420532227","7.884790420532227","7.884790420532227"
"40","","","","7.995007038116455","7.995007038116455","7.995007038116455"
"41","","","","7.669795989990234","7.669795989990234","7.669795989990234"
"42","","","","7.526480674743652","7.526480674743652","7.526480674743652"
"43","","","","7.58858585357666","7.58858585357666","7.58858585357666"
"44","","","","7.660125732421875","7.660125732421875","7.660125732421875"
"45","","","","7.665677070617676","7.665677070617676","7.665677070617676"
"46","","","","7.458047866821289","7.458047866821289","7.458047866821289"
"47","","","","7.751148700714111","7.751148700714111","7.751148700714111"
"48","","","","7.426584720611572","7.426584720611572","7.426584720611572"
"49","","","","7.468821048736572","7.468821048736572","7.468821048736572"
