"Step","hkn0405.localdomain-0 - train/lm_loss","hkn0405.localdomain-0 - train/lm_loss__MIN","hkn0405.localdomain-0 - train/lm_loss__MAX"
"1","11.089526176452637","11.089526176452637","11.089526176452637"
"2","11.08607292175293","11.08607292175293","11.08607292175293"
"3","11.032872200012207","11.032872200012207","11.032872200012207"
"4","10.290760040283203","10.290760040283203","10.290760040283203"
"5","9.0149507522583","9.0149507522583","9.0149507522583"
"6","8.641022682189941","8.641022682189941","8.641022682189941"
"7","8.409722328186035","8.409722328186035","8.409722328186035"
"8","8.353118896484375","8.353118896484375","8.353118896484375"
"9","8.407219886779785","8.407219886779785","8.407219886779785"
"10","8.207098007202148","8.207098007202148","8.207098007202148"
"11","8.167302131652832","8.167302131652832","8.167302131652832"
"12","7.879985332489014","7.879985332489014","7.879985332489014"
"13","7.981880187988281","7.981880187988281","7.981880187988281"
"14","7.807250022888184","7.807250022888184","7.807250022888184"
"15","7.821338653564453","7.821338653564453","7.821338653564453"
"16","7.773561000823975","7.773561000823975","7.773561000823975"
"17","7.775158882141113","7.775158882141113","7.775158882141113"
"18","7.677374839782715","7.677374839782715","7.677374839782715"
"19","7.626684188842773","7.626684188842773","7.626684188842773"
"20","7.660590171813965","7.660590171813965","7.660590171813965"
"21","7.740321159362793","7.740321159362793","7.740321159362793"
"22","7.567995071411133","7.567995071411133","7.567995071411133"
"23","7.371161460876465","7.371161460876465","7.371161460876465"
"24","7.548766136169434","7.548766136169434","7.548766136169434"
"25","7.534255027770996","7.534255027770996","7.534255027770996"
"26","7.363697528839111","7.363697528839111","7.363697528839111"
"27","7.408449649810791","7.408449649810791","7.408449649810791"
"28","7.395237445831299","7.395237445831299","7.395237445831299"
"29","7.396386623382568","7.396386623382568","7.396386623382568"
"30","7.393725872039795","7.393725872039795","7.393725872039795"
"31","7.378485202789307","7.378485202789307","7.378485202789307"
"32","7.207077980041504","7.207077980041504","7.207077980041504"
"33","7.27910041809082","7.27910041809082","7.27910041809082"
"34","7.173805236816406","7.173805236816406","7.173805236816406"
