"Step","hkn0405.localdomain-0 - train/learning_rate","hkn0405.localdomain-0 - train/learning_rate__MIN","hkn0405.localdomain-0 - train/learning_rate__MAX"
"1","7.642338555598013e-7","7.642338555598013e-7","7.642338555598013e-7"
"2","0.0000015284677111196027","0.0000015284677111196027","0.0000015284677111196027"
"3","0.0000022927015666794043","0.0000022927015666794043","0.0000022927015666794043"
"4","0.0000030569354222392054","0.0000030569354222392054","0.0000030569354222392054"
"5","0.000003821169277799006","0.000003821169277799006","0.000003821169277799006"
"6","0.000004585403133358809","0.000004585403133358809","0.000004585403133358809"
"7","0.000005349636988918609","0.000005349636988918609","0.000005349636988918609"
"8","0.000006113870844478411","0.000006113870844478411","0.000006113870844478411"
"9","0.000006878104700038213","0.000006878104700038213","0.000006878104700038213"
"10","0.000007642338555598013","0.000007642338555598013","0.000007642338555598013"
"11","0.000008406572411157816","0.000008406572411157816","0.000008406572411157816"
"12","0.000009170806266717617","0.000009170806266717617","0.000009170806266717617"
"13","0.000009935040122277419","0.000009935040122277419","0.000009935040122277419"
"14","0.000010699273977837219","0.000010699273977837219","0.000010699273977837219"
"15","0.00001146350783339702","0.00001146350783339702","0.00001146350783339702"
"16","0.000012227741688956821","0.000012227741688956821","0.000012227741688956821"
"17","0.000012991975544516623","0.000012991975544516623","0.000012991975544516623"
"18","0.000013756209400076426","0.000013756209400076426","0.000013756209400076426"
"19","0.000014520443255636226","0.000014520443255636226","0.000014520443255636226"
"20","0.000015284677111196025","0.000015284677111196025","0.000015284677111196025"
"21","0.00001604891096675583","0.00001604891096675583","0.00001604891096675583"
"22","0.000016813144822315632","0.000016813144822315632","0.000016813144822315632"
"23","0.00001757737867787543","0.00001757737867787543","0.00001757737867787543"
"24","0.000018341612533435235","0.000018341612533435235","0.000018341612533435235"
"25","0.000019105846388995034","0.000019105846388995034","0.000019105846388995034"
"26","0.000019870080244554838","0.000019870080244554838","0.000019870080244554838"
"27","0.000020634314100114637","0.000020634314100114637","0.000020634314100114637"
"28","0.000021398547955674437","0.000021398547955674437","0.000021398547955674437"
"29","0.00002216278181123424","0.00002216278181123424","0.00002216278181123424"
"30","0.00002292701566679404","0.00002292701566679404","0.00002292701566679404"
"31","0.000023691249522353843","0.000023691249522353843","0.000023691249522353843"
"32","0.000024455483377913643","0.000024455483377913643","0.000024455483377913643"
"33","0.000025219717233473443","0.000025219717233473443","0.000025219717233473443"
"34","0.000025983951089033246","0.000025983951089033246","0.000025983951089033246"
"35","0.00002674818494459305","0.00002674818494459305","0.00002674818494459305"
"36","0.000027512418800152852","0.000027512418800152852","0.000027512418800152852"
"37","0.000028276652655712652","0.000028276652655712652","0.000028276652655712652"
"38","0.00002904088651127245","0.00002904088651127245","0.00002904088651127245"
"39","0.000029805120366832255","0.000029805120366832255","0.000029805120366832255"
"40","0.00003056935422239205","0.00003056935422239205","0.00003056935422239205"
"41","0.000031333588077951854","0.000031333588077951854","0.000031333588077951854"
"42","0.00003209782193351166","0.00003209782193351166","0.00003209782193351166"
"43","0.00003286205578907146","0.00003286205578907146","0.00003286205578907146"
"44","0.000033626289644631264","0.000033626289644631264","0.000033626289644631264"
"45","0.00003439052350019107","0.00003439052350019107","0.00003439052350019107"
"46","0.00003515475735575086","0.00003515475735575086","0.00003515475735575086"
"47","0.000035918991211310666","0.000035918991211310666","0.000035918991211310666"
"48","0.00003668322506687047","0.00003668322506687047","0.00003668322506687047"
"49","0.000037447458922430266","0.000037447458922430266","0.000037447458922430266"
"50","0.00003821169277799007","0.00003821169277799007","0.00003821169277799007"
"51","0.00003897592663354987","0.00003897592663354987","0.00003897592663354987"
"52","0.000039740160489109675","0.000039740160489109675","0.000039740160489109675"
"53","0.00004050439434466947","0.00004050439434466947","0.00004050439434466947"
"54","0.000041268628200229275","0.000041268628200229275","0.000041268628200229275"
"55","0.00004203286205578908","0.00004203286205578908","0.00004203286205578908"
"56","0.000042797095911348874","0.000042797095911348874","0.000042797095911348874"
"57","0.00004356132976690868","0.00004356132976690868","0.00004356132976690868"
"58","0.00004432556362246848","0.00004432556362246848","0.00004432556362246848"
"59","0.00004508979747802828","0.00004508979747802828","0.00004508979747802828"
"60","0.00004585403133358808","0.00004585403133358808","0.00004585403133358808"
"61","0.00004661826518914788","0.00004661826518914788","0.00004661826518914788"
"62","0.000047382499044707686","0.000047382499044707686","0.000047382499044707686"
"63","0.00004814673290026748","0.00004814673290026748","0.00004814673290026748"
"64","0.000048910966755827286","0.000048910966755827286","0.000048910966755827286"
"65","0.00004967520061138709","0.00004967520061138709","0.00004967520061138709"
"66","0.000050439434466946885","0.000050439434466946885","0.000050439434466946885"
"67","0.00005120366832250669","0.00005120366832250669","0.00005120366832250669"
"68","0.00005196790217806649","0.00005196790217806649","0.00005196790217806649"
"69","0.000052732136033626295","0.000052732136033626295","0.000052732136033626295"
"70","0.0000534963698891861","0.0000534963698891861","0.0000534963698891861"
"71","0.0000542606037447459","0.0000542606037447459","0.0000542606037447459"
"72","0.000055024837600305704","0.000055024837600305704","0.000055024837600305704"
"73","0.0000557890714558655","0.0000557890714558655","0.0000557890714558655"
"74","0.000056553305311425303","0.000056553305311425303","0.000056553305311425303"
"75","0.000057317539166985107","0.000057317539166985107","0.000057317539166985107"
"76","0.0000580817730225449","0.0000580817730225449","0.0000580817730225449"
"77","0.000058846006878104706","0.000058846006878104706","0.000058846006878104706"
